"spp","site","n_trees","n_crop","prop_crop","max_crop_dbh","mean_crop_dbh","dbh_50pct","effective_dbh_threshold","scenario","factor_type","factor_value"
"YB","clayplain",342,233,0.681286549707602,24,16.0257510729614,10,10,"lev_1.5","lev",1.5
"YB","granitictill",342,177,0.517543859649123,21,14.5706214689266,10,10,"lev_1.5","lev",1.5
"YB","mountaintill",342,179,0.523391812865497,21,14.6759776536313,10,10,"lev_1.5","lev",1.5
"YB","richnhw",342,240,0.701754385964912,24,16.2125,10,10,"lev_1.5","lev",1.5
"BM","clayplain",912,202,0.221491228070175,16,12.2772277227723,10,10,"price_0.5","price",0.5
"BM","granitictill",912,159,0.174342105263158,18,12.559748427673,10,10,"price_0.5","price",0.5
"BM","mountaintill",912,151,0.165570175438596,17,12.9205298013245,28,28,"price_0.5","price",0.5
"BM","richnhw",912,123,0.134868421052632,17,13.0569105691057,28,28,"price_0.5","price",0.5
"PB","clayplain",912,116,0.12719298245614,17,12.8362068965517,28,28,"price_0.5","price",0.5
"PB","granitictill",912,94,0.103070175438596,19,13.6808510638298,28,28,"price_0.5","price",0.5
"PB","mountaintill",912,60,0.0657894736842105,19,14.4333333333333,28,28,"price_0.5","price",0.5
"PB","richnhw",912,42,0.0460526315789474,17,14.0714285714286,28,28,"price_0.5","price",0.5
"RM","clayplain",912,263,0.288377192982456,19,13.2737642585551,10,10,"price_0.5","price",0.5
"RM","granitictill",912,211,0.231359649122807,19,13.7203791469194,12,12,"price_0.5","price",0.5
"RM","mountaintill",912,175,0.191885964912281,20,14.4914285714286,28,28,"price_0.5","price",0.5
"RM","richnhw",912,152,0.166666666666667,19,14.4013157894737,28,28,"price_0.5","price",0.5
"SO","clayplain",912,284,0.31140350877193,20,13.0598591549296,10,10,"price_0.5","price",0.5
"SO","granitictill",912,267,0.292763157894737,19,13.4157303370787,10,10,"price_0.5","price",0.5
"SO","mountaintill",912,224,0.245614035087719,21,14.0178571428571,13,13,"price_0.5","price",0.5
"SO","richnhw",912,205,0.224780701754386,20,13.8926829268293,14,14,"price_0.5","price",0.5
"WO","clayplain",912,371,0.406798245614035,20,13.733153638814,10,10,"price_0.5","price",0.5
"WO","granitictill",912,373,0.408991228070175,21,13.9785522788204,10,10,"price_0.5","price",0.5
"WO","mountaintill",912,342,0.375,21,14.1374269005848,10,10,"price_0.5","price",0.5
"WO","richnhw",912,323,0.354166666666667,20,14.046439628483,10,10,"price_0.5","price",0.5
"WP","clayplain",912,6,0.00657894736842105,11,10.5,28,28,"price_0.5","price",0.5
"WP","granitictill",912,0,0,NA,NA,NA,0,"price_0.5","price",0.5
"WP","mountaintill",912,0,0,NA,NA,NA,0,"price_0.5","price",0.5
"WP","richnhw",912,0,0,NA,NA,NA,0,"price_0.5","price",0.5
"YB","clayplain",342,232,0.678362573099415,24,16,10,10,"price_0.5","price",0.5
"YB","granitictill",342,172,0.502923976608187,20,14.4244186046512,10,10,"price_0.5","price",0.5
"YB","mountaintill",342,172,0.502923976608187,21,14.5697674418605,10,10,"price_0.5","price",0.5
"YB","richnhw",342,234,0.684210526315789,24,16.0512820512821,10,10,"price_0.5","price",0.5
"BM","clayplain",912,224,0.245614035087719,17,12.3392857142857,10,10,"price_0.75","price",0.75
"BM","granitictill",912,194,0.212719298245614,18,12.4484536082474,10,10,"price_0.75","price",0.75
"BM","mountaintill",912,200,0.219298245614035,17,12.75,10,10,"price_0.75","price",0.75
"BM","richnhw",912,188,0.206140350877193,17,12.9414893617021,10,10,"price_0.75","price",0.75
"PB","clayplain",912,155,0.169956140350877,17,12.6516129032258,11,11,"price_0.75","price",0.75
"PB","granitictill",912,147,0.161184210526316,19,13.2176870748299,28,28,"price_0.75","price",0.75
"PB","mountaintill",912,109,0.119517543859649,19,13.9908256880734,28,28,"price_0.75","price",0.75
"PB","richnhw",912,94,0.103070175438596,17,13.7234042553191,28,28,"price_0.75","price",0.75
"RM","clayplain",912,301,0.330043859649123,19,13.1926910299003,10,10,"price_0.75","price",0.75
"RM","granitictill",912,269,0.294956140350877,19,13.4312267657993,10,10,"price_0.75","price",0.75
"RM","mountaintill",912,243,0.266447368421053,20,14.037037037037,12,12,"price_0.75","price",0.75
"RM","richnhw",912,231,0.253289473684211,19,13.95670995671,13,13,"price_0.75","price",0.75
"SO","clayplain",912,311,0.341008771929825,20,13.0385852090032,10,10,"price_0.75","price",0.75
"SO","granitictill",912,311,0.341008771929825,20,13.3408360128617,10,10,"price_0.75","price",0.75
"SO","mountaintill",912,293,0.321271929824561,21,13.7679180887372,10,10,"price_0.75","price",0.75
"SO","richnhw",912,286,0.31359649122807,20,13.6223776223776,10,10,"price_0.75","price",0.75
"WO","clayplain",912,382,0.418859649122807,20,13.761780104712,10,10,"price_0.75","price",0.75
"WO","granitictill",912,400,0.43859649122807,21,14.0175,10,10,"price_0.75","price",0.75
"WO","mountaintill",912,380,0.416666666666667,21,14.0947368421053,10,10,"price_0.75","price",0.75
"WO","richnhw",912,364,0.399122807017544,20,14,10,10,"price_0.75","price",0.75
"WP","clayplain",912,18,0.0197368421052632,11,10.1666666666667,28,28,"price_0.75","price",0.75
"WP","granitictill",912,0,0,NA,NA,NA,0,"price_0.75","price",0.75
"WP","mountaintill",912,0,0,NA,NA,NA,0,"price_0.75","price",0.75
"WP","richnhw",912,0,0,NA,NA,NA,0,"price_0.75","price",0.75
"YB","clayplain",342,233,0.681286549707602,24,16.0257510729614,10,10,"price_0.75","price",0.75
"YB","granitictill",342,178,0.52046783625731,21,14.6011235955056,10,10,"price_0.75","price",0.75
"YB","mountaintill",342,181,0.529239766081871,21,14.7237569060773,10,10,"price_0.75","price",0.75
"YB","richnhw",342,241,0.704678362573099,24,16.2448132780083,10,10,"price_0.75","price",0.75
"BM","clayplain",912,239,0.262061403508772,17,12.3054393305439,10,10,"price_1.5","price",1.5
"BM","granitictill",912,232,0.254385964912281,18,12.4310344827586,10,10,"price_1.5","price",1.5
